📺IPV4组播,#genre#
东方财经,http://111.73.20.59:8688/udp/239.252.219.57:5140

江西卫视,http://111.73.20.59:8688/udp/239.252.220.63:5140
江西都市频道,http://111.73.20.59:8688/udp/239.252.220.238:5140
江西经济生活,http://111.73.20.59:8688/udp/239.252.219.173:5140
江西影视旅游,http://111.73.20.59:8688/udp/239.252.220.242:5140
江西公共农业,http://111.73.20.59:8688/udp/239.252.220.102:5140
江西少儿频道,http://111.73.20.59:8688/udp/239.252.219.113:5140
江西新闻频道,http://111.73.20.59:8688/udp/239.252.220.100:5140
江西移动电视,http://111.73.20.59:8688/udp/239.252.220.241:5140
江西教育频道,http://111.73.20.59:8688/udp/239.252.219.115:5140
江西风尚购物,http://111.73.20.59:8688/udp/239.252.219.101:5140

CCTV1,http://111.73.20.59:8688/udp/239.252.219.200:5140
CCTV2,http://111.73.20.59:8688/udp/239.252.220.183:5140
CCTV3,http://111.73.20.59:8688/udp/239.252.219.252:5140
CCTV3,http://111.73.20.59:8688/udp/239.252.220.193:5140
CCTV4,http://111.73.20.59:8688/udp/239.252.220.184:5140
CCTV6,http://111.73.20.59:8688/udp/239.252.219.237:5140
CCTV6,http://111.73.20.59:8688/udp/239.252.220.195:5140
CCTV7,http://111.73.20.59:8688/udp/239.252.220.185:5140
CCTV8,http://111.73.20.59:8688/udp/239.252.219.253:5140
CCTV8,http://111.73.20.59:8688/udp/239.252.220.196:5140
CCTV9,http://111.73.20.59:8688/udp/239.252.220.186:5140
CCTV10,http://111.73.20.59:8688/udp/239.252.220.91:5140
CCTV11,http://111.73.20.59:8688/udp/239.252.219.78:5140
CCTV12,http://111.73.20.59:8688/udp/239.252.220.187:5140
CCTV13,http://111.73.20.59:8688/udp/239.252.219.139:5140
CCTV15,http://111.73.20.59:8688/udp/239.252.219.79:5140
CCTV17,http://111.73.20.59:8688/udp/239.252.220.192:5140
CCTV中国天气,http://111.73.20.59:8688/udp/239.252.219.143:5140
CCTV兵器科技,http://111.73.20.59:8688/udp/239.252.219.98:5140
CCTV电视指南,http://111.73.20.59:8688/udp/239.252.219.97:5140
CCTV风云足球,http://111.73.20.59:8688/udp/239.252.219.96:5140
CCTV央视台球,http://111.73.20.59:8688/udp/239.252.219.80:5140
CCTV高尔夫网球,http://111.73.20.59:8688/udp/239.252.219.95:5140
CCTV女性时尚,http://111.73.20.59:8688/udp/239.252.219.94:5140
CCTV世界地理,http://111.73.20.59:8688/udp/239.252.219.93:5140
CCTV怀旧剧场,http://111.73.20.59:8688/udp/239.252.219.90:5140
CCTV风云剧场,http://111.73.20.59:8688/udp/239.252.219.89:5140
CCTV央视文化精品,http://111.73.20.59:8688/udp/239.252.219.81:5140
CCTV第一剧场,http://111.73.20.59:8688/udp/239.252.219.86:5140
CCTV风云音乐,http://111.73.20.59:8688/udp/239.252.219.87:5140

CCTV5,http://111.73.20.59:8688/udp/239.252.219.236:5140
CCTV5,http://111.73.20.59:8688/udp/239.252.219.198:5140
CCTV5+,http://111.73.20.59:8688/udp/239.252.219.72:5140
CCTV16,http://111.73.20.59:8688/udp/239.252.219.70:5140
CCTV16,http://111.73.20.59:8688/udp/239.252.219.71:5140
CCTV16,http://111.73.20.59:8688/udp/239.252.220.237:5140

CCTV14,http://111.73.20.59:8688/udp/239.252.220.92:5140
嘉佳卡通,http://111.73.20.59:8688/udp/239.252.219.92:5140
卡酷动画,http://111.73.20.59:8688/udp/239.252.219.109:5140
金鹰卡通,http://111.73.20.59:8688/udp/239.252.219.69:5140
炫动卡通,http://111.73.20.59:8688/udp/239.252.219.43:5140
动漫秀场,http://111.73.20.59:8688/udp/239.252.219.59:5140
新动漫,http://111.73.20.59:8688/udp/239.252.220.132:5140

江苏卫视,http://111.73.20.59:8688/udp/239.252.219.214:5140
北京卫视,http://111.73.20.59:8688/udp/239.252.219.206:5140
东方卫视,http://111.73.20.59:8688/udp/239.252.219.229:5140
浙江卫视,http://111.73.20.59:8688/udp/239.252.219.210:5140
广东卫视,http://111.73.20.59:8688/udp/239.252.219.213:5140
深圳卫视,http://111.73.20.59:8688/udp/239.252.219.212:5140
湖南卫视,http://111.73.20.59:8688/udp/239.252.219.201:5140
湖北卫视,http://111.73.20.59:8688/udp/239.252.219.208:5140
辽宁卫视,http://111.73.20.59:8688/udp/239.252.220.62:5140
天津卫视,http://111.73.20.59:8688/udp/239.252.220.61:5140
贵州卫视,http://111.73.20.59:8688/udp/239.252.220.190:5140
山东卫视,http://111.73.20.59:8688/udp/239.252.219.228:5140
重庆卫视,http://111.73.20.59:8688/udp/239.252.220.94:5140
云南卫视,http://111.73.20.59:8688/udp/239.252.219.185:5140
东南卫视,http://111.73.20.59:8688/udp/239.252.220.82:5140
黑龙江卫视,http://111.73.20.59:8688/udp/239.252.219.211:5140
青海卫视,http://111.73.20.59:8688/udp/239.252.219.46:5140
安徽卫视,http://111.73.20.59:8688/udp/239.252.220.83:5140
河北卫视,http://111.73.20.59:8688/udp/239.252.220.154:5140
海南卫视,http://111.73.20.59:8688/udp/239.252.219.178:5140
吉林卫视,http://111.73.20.59:8688/udp/239.252.220.188:5140
内蒙古卫视,http://111.73.20.59:8688/udp/239.252.219.48:5140
河南卫视,http://111.73.20.59:8688/udp/239.252.220.189:5140
宁夏卫视,http://111.73.20.59:8688/udp/239.252.219.104:5140
山西卫视,http://111.73.20.59:8688/udp/239.252.219.27:5140
甘肃卫视,http://111.73.20.59:8688/udp/239.252.219.140:5140
陕西卫视,http://111.73.20.59:8688/udp/239.252.219.105:5140
兵团卫视,http://111.73.20.59:8688/udp/239.252.219.107:5140
广西卫视,http://111.73.20.59:8688/udp/239.252.219.183:5140
三沙卫视,http://111.73.20.59:8688/udp/239.252.219.76:5140
新疆卫视,http://111.73.20.59:8688/udp/239.252.219.100:5140
四川卫视,http://111.73.20.59:8688/udp/239.252.220.93:5140
西藏卫视,http://111.73.20.59:8688/udp/239.252.219.106:5140
厦门卫视,http://111.73.20.59:8688/udp/239.252.219.75:5140

东方财经,http://220.176.218.35:8888/udp/239.252.219.57:5140

江西卫视,http://220.176.218.35:8888/udp/239.252.220.63:5140
江西都市频道,http://220.176.218.35:8888/udp/239.252.220.238:5140
江西经济生活,http://220.176.218.35:8888/udp/239.252.219.173:5140
江西影视旅游,http://220.176.218.35:8888/udp/239.252.220.242:5140
江西公共农业,http://220.176.218.35:8888/udp/239.252.220.102:5140
江西少儿频道,http://220.176.218.35:8888/udp/239.252.219.113:5140
江西新闻频道,http://220.176.218.35:8888/udp/239.252.220.100:5140
江西移动电视,http://220.176.218.35:8888/udp/239.252.220.241:5140
江西教育频道,http://220.176.218.35:8888/udp/239.252.219.115:5140
