📡广播频道,#genre#
环球资讯,http://sk.cri.cn/905.m3u8
经典音乐,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
北京音乐广播,http://live.xmcdn.com/live/95/64.m3u8
上海动感101,http://ls.qingting.fm/live/274.m3u8
清晨音乐台,http://live.xmcdn.com:80/live/1011/64.m3u8
怀集音乐台,http://live.xmcdn.com:80/live/966/64.m3u8
高清音乐台,http://live.xmcdn.com:80/live/1427/64.m3u8
老歌音乐台,http://live.xmcdn.com:80/live/2628/64.m3u8
亚洲经典音乐台,http://live.xmcdn.com:80/live/1005/64.m3u8
厦门音乐广播,http://ls.qingting.fm/live/1739.m3u8
浙江动听,http://ls.qingting.fm/live/4866.m3u8
广东音乐广播,http://ls.qingting.fm/live/1260.m3u8
深圳飞扬音乐台,http://ls.qingting.fm/live/1271.m3u8
音乐之声,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8
华语金曲500首,http://ls.qingting.fm/live/3412131.m3u8
📡电影解说,#genre#
易中天品三国,https://epg.112114.xyz/huya/11602032
木子李说故事,https://epg.112114.xyz/huya/24030276
呆瓜侃电影,https://epg.112114.xyz/huya/26714197
小片片说大片,http://epg.112114.xyz/douyu/4258555
科幻fans,http://epg.112114.xyz/douyu/3508304
科幻梦工厂,https://epg.112114.xyz/huya/15152155
小乔讲电影,http://epg.112114.xyz/douyu/8413908
小导讲电影,http://epg.112114.xyz/douyu/9390955
牛叔说电影,http://epg.112114.xyz/douyu/2758565
大蓝雀,http://epg.112114.xyz/douyu/8656759
末日说电影,http://epg.112114.xyz/douyu/9431125
博然讲电影,http://epg.112114.xyz/douyu/9561992
宇哥讲电影,http://epg.112114.xyz/douyu/2104744
